Master_SKU,Original_Category,Amazon Cat,Remark,Cost,MRP,Uniware,FBA,Sjit,FBF,Launch Date,LOC,Cost into %,Cost after %,Return Charge,GST on Return,Final TP,Required Selling Price,Selected Price Range,Selected Fixed Fee Range,Commission %,Commission Amount,Fixed Closing Fee,FBA Pick Pack,Technology Fee,Full Shipping Fee,WHF % On Shipping,Shipping Fee Charged,Total Charges,Final Value After Charges,Sett Acc Panel,Net Profit On SP,Net Profit % On SP,Net Profit % On TP,Old Daily SP,Old Deal SP
JOPLJPR147B-L,Kurta-Jpr,Apparel - Ethnic Wear,Platinum C,296.0,1996.0,0.0,0.0,0.0,0.0,31-Jan-26,Jaipur,23.0,384.4155844155845,59.0,10.62,454.0355844155845,582,500-1000,500-1000,10.0,58.23,20.0,20.0,14.0,40.0,40.0,16.0,128.23,454.04,453.77,88.14999999999998,15.146048109965632,19.414777833649964,499.0,475.0
JOPLJPR2003-L,"Dress 46""",Apparel - Dress,Closed,430.0,2663.0,0.0,0.0,0.0,0.0,18-Sep-24,Jaipur,23.0,558.4415584415585,59.0,10.62,628.0615584415585,751,500-1000,500-1000,7.0,52.54,20.0,20.0,14.0,40.0,40.0,16.0,122.54,628.06,628.46,128.84000000000003,17.155792276964053,20.51391273169104,699.0,664.0
JOPLJPR750-XXL,Cotton Top,Apparel - Other products,Slow Moving,236.0,2330.0,34.0,4.0,10.0,0.0,6-May-24,Jaipur,23.0,306.4935064935065,59.0,10.62,376.1135064935065,464,300-500,250-500,5.0,23.22,20.0,20.0,13.0,30.0,40.0,12.0,88.22,376.11,375.78,70.15999999999997,15.120689655172406,18.653943234875893,499.0,475.0
JOPLVSRW5177-XXL,Rw Salwar Suit,Apparel - Ethnic Wear,Closed,312.0,2663.0,0.0,0.0,0.0,0.0,2-Jan-25,Surat,23.0,405.1948051948052,59.0,10.62,474.8148051948052,605,500-1000,500-1000,10.0,60.53,20.0,20.0,14.0,40.0,40.0,16.0,130.53,474.81,474.47,92.85000000000002,15.347107438016533,19.55499259588291,499.0,475.0
JOPLVSRW5186-S,Rw Salwar Suit,Apparel - Ethnic Wear,Closed,0.0,2663.0,0.0,0.0,0.0,0.0,11-Apr-24,Surat,23.0,0.0,59.0,0.0,0.0,70,0-300,0-250,0.0,0.0,25.0,25.0,12.0,20.0,40.0,8.0,70.0,0.0,0.0,-59.0,-84.28571428571429,-inf,499.0,475.0
JOPLVSM5138,Dress Material,Apparel - Sarees and Dress Materials,Closed,370.0,2150.0,0.0,0.0,0.0,0.0,9-Jul-23,Surat,23.0,480.5194805194805,59.0,10.62,550.1394805194806,674,500-1000,500-1000,8.0,53.93,20.0,20.0,14.0,40.0,40.0,16.0,123.93,550.14,550.0699999999999,110.44999999999993,16.387240356083076,20.076726704963118,599.0,569.0
JOPLVSRW5211-S,Rw Salwar Suit,Apparel - Ethnic Wear,Platinum C,285.0,2663.0,0.0,0.0,0.0,0.0,3-Jun-25,Surat,23.0,370.1298701298702,59.0,10.62,439.7498701298702,566,500-1000,500-1000,10.0,56.64,20.0,20.0,14.0,40.0,40.0,16.0,126.64,439.75,439.36,84.74000000000001,14.971731448763254,19.270045486306557,499.0,475.0
JOPLJPR159B-XXL,Kurta-Jpr,Apparel - Ethnic Wear,Platinum C,288.0,0.0,0.0,0.0,0.0,0.0,10-Mar-26,Jaipur,23.0,374.02597402597405,59.0,10.62,443.64597402597406,571,500-1000,500-1000,10.0,57.07,20.0,20.0,14.0,40.0,40.0,16.0,127.07,443.65,443.93,86.31,15.115586690017512,19.4547015082226,0.0,0.0
BL6208RED0426-XXL,Blouse,Apparel - Other products,Launch Phase,0.0,0.0,3.0,0.0,0.0,0.0,"",Surat,23.0,0.0,59.0,0.0,0.0,70,0-300,0-250,0.0,0.0,25.0,25.0,12.0,20.0,40.0,8.0,70.0,0.0,0.0,-59.0,-84.28571428571429,-inf,,
JOPLVSM4268,Dress Material,Apparel - Sarees and Dress Materials,Closed,225.0,1996.0,0.0,0.0,0.0,0.0,25-Sep-24,Surat,23.0,292.20779220779224,59.0,10.62,361.82779220779224,445,300-500,250-500,4.0,17.78,20.0,20.0,13.0,30.0,40.0,12.0,82.78,361.83,362.22,67.60000000000002,15.191011235955063,18.682920841298547,425.0,399.0
