Master SKU,MRP,Cost,Wholesale Price,Catalog Name,Up Price,Launch Date
JOPLJPR2012-3XL,2663,319,399,Alina,550,11-Jun-25
JOPLJPR2012-L,2663,319,399,Alina,550,11-Jun-25
JOPLJPR2012-M,2663,319,399,Alina,550,11-Jun-25
JOPLJPR2012-S,2663,319,399,Alina,550,11-Jun-25
JOPLJPR2012-XL,2663,319,399,Alina,550,11-Jun-25
JOPLJPR2012-XS,.,Pending,,,,11-Jun-25
JOPLJPR2012-XXL,2663,319,399,Alina,550,11-Jun-25
JOPLJPR2013-3XL,2663,296,370,Alina,550,11-Jun-25
JOPLJPR2013-L,2663,296,370,Alina,550,11-Jun-25
JOPLJPR2013-M,2663,296,370,Alina,550,11-Jun-25
JOPLJPR2013-S,2663,296,370,Alina,550,11-Jun-25
JOPLJPR2013-XL,2663,296,370,Alina,550,11-Jun-25
JOPLJPR2013-XS,.,Pending,,,,11-Jun-25
JOPLJPR2013-XXL,2663,296,370,Alina,550,11-Jun-25
JOPLJPR2014-3XL,2663,334,418,Alina,550,19-Jun-25
JOPLJPR2014-L,2663,334,418,Alina,550,19-Jun-25
JOPLJPR2014-M,2663,334,418,Alina,550,19-Jun-25
JOPLJPR2014-S,2663,334,418,Alina,550,19-Jun-25
JOPLJPR2014-XL,2663,334,418,Alina,550,19-Jun-25
JOPLJPR2014-XS,.,Pending,,,,19-Jun-25
JOPLJPR2014-XXL,2663,334,418,Alina,550,19-Jun-25
JOPLJPR2015-3XL,2663,288,360,Alina,550,19-Jun-25
JOPLJPR2015-L,2663,288,360,Alina,550,19-Jun-25
JOPLJPR2015-M,2663,288,360,Alina,550,19-Jun-25
JOPLJPR2015-S,2663,288,360,Alina,550,19-Jun-25
JOPLJPR2015-XL,2663,288,360,Alina,550,19-Jun-25
JOPLJPR2015-XS,.,Pending,,,,19-Jun-25
JOPLJPR2015-XXL,2663,288,360,Alina,550,19-Jun-25
JOPLJPR2016-3XL,2663,318,398,Alina,550,19-Jun-25
JOPLJPR2016-L,2663,318,398,Alina,550,19-Jun-25
JOPLJPR2016-M,2663,318,398,Alina,550,19-Jun-25
JOPLJPR2016-S,2663,318,398,Alina,550,19-Jun-25
JOPLJPR2016-XL,2663,318,398,Alina,550,19-Jun-25
JOPLJPR2016-XS,.,Pending,,,,19-Jun-25
