uni,uni_stock,fba,fba_stock,fbf,fbf_stock,sjit,sjit_stock
JOPLJPR132-XXL,2,JOPLJPR703-XS,1,JOPLVSMRW5156-6XL,0,JOPLST243-S,24
JOPLJPR133-S,4,JOPLDI1025,1,JOPLVSRW4031-XL,10,JOPLJPR43-3XL,13
JOPLJPR135-M,1,JOPLDI1020,2,JOPLST242-5XL,0,JOPLVSRW5202-M,5
JOPLJPR136-S,1,JOPLDI1024,19,JOPLVSRW4097-M,1,JOPLVSRW5206-5XL,2
JOPLJPR138-L,184,JOPLJPR718-XL,3,JOPLVSRW5171-M,1,JOPLJPR773-XL,2
JOPLJPR138-M,59,JOPLJPR718-XS,1,JOPLLTRW2016-S,8,JOPLVSRW4005-6XL,42
JOPLJPR138-S,251,JOPLVSMRW4281-M,2,JOPLJPR325-XL,0,JOPLVSRW4290-5XL,2
JOPLJPR138-XL,64,JOPLJPR718-M,5,JOPLJPR68A-L,1,JOPLVL218-S,1
JOPLJPR138-XXL,58,JOPLJPR718-S,1,JOPLDI1020,1,JOPLJPR347-XS,1
JOPLJPR139-L,1,JOPLJPR713-XXL,9,JOPLJPR325-XXL,6,JOPLST243-XXL,2
JOPLJPR139-M,5,JOPLJPR304-XXL,2,JOPLVSRW4290-M,3,JOPLLTRW2016-S,1
JOPLJPR139-S,8,JOPLLTRW2007-XXL,11,JOPLVSRW5172-3XL,0,JOPLVSMRW4250-5XL,6
JOPLJPR139-XL,1,JOPLJPR307-XL,2,JOPLVSMRW5149-S,7,JOPLJPR346-S,1
JOPLJPR139-XXL,3,JOPLJPR307-L,3,JOPLST269-S,37,JOPLST202-XL,2
JOPLJPR13-M,2,JOPLLTRW2007-M,4,JOPLVSMRW4250-6XL,1,JOPLVSMRW4250-6XL,30
JOPLJPR13-S,1,JOPLJPR301-XL,2,JOPLVSRW4290-L,0,JOPLST242-M,2
JOPLJPR13-XL,6,JOPLLTRW2007-XL,2,JOPLVSMRW5160-L,3,JOPLJPR109-XXL,1
JOPLJPR140-L,9,JOPLST02-XL,1,JOPLVSRW5218-6XL,1,JOPLJPR713-XL,8
JOPLJPR140-S,26,JOPLST07-L,1,JOPLVSRW4286-S,0,JOPLST11-S,1
JOPLJPR140-XL,10,JOPLJPR839-XXL,1,JOPLVSRW4002-L,0,JOPLLTRW2017-8XL,7
JOPLJPR140-XXL,6,JOPLJPR714-L,1,JOPLVSMRW3988-7XL,0,JOPLLTRW2018-6XL,1
JOPLJPR141-S,1,JOPLJPR714-S,0,JOPLVSRW5172-L,2,JOPLJPR89-L,1
JOPLJPR141-XL,1,JOPLJPR714-XXL,3,JOPLLTRW2007-M,2,JOPLLTRW2017-5XL,61
JOPLJPR141-XS,9,JOPLJPR714-M,3,JOPLLTRW2016-L,0,JOPLVSRW4088-3XL,3
JOPLJPR142-L,2,JOPLJPR714-XL,40,JOPLVSMRW4281-M,1,JOPLJPR43-5XL,20
JOPLJPR142-M,5,JOPLJPR714-XS,24,JOPLVSRW5171-7XL,4,JOPLLTRW2007-6XL,2
JOPLJPR142-S,12,JOPLLTRW2017-XL,18,JOPLVSMRW5160-XXL,0,JOPLJPR786-XXL,1
JOPLJPR142-XL,3,JOPLLTRW2017-M,47,JOPLLTRW2007-6XL,9,JOPLVSRW5202-4XL,1
JOPLJPR142-XS,17,JOPLLTRW2017-L,16,JOPLVSRW5193-M,4,JOPLLTRW2018-3XL,1
JOPLJPR144-L,49,JOPLLTRW2017-4XL,13,JOPLPDPRW1006-3XL,3,JOPLVSMRW4002J-3XL,1
JOPLJPR144-M,44,JOPLLTRW2016-S,7,JOPLLTRW2016-4XL,0,JOPLVSRW4031-4XL,1
JOPLJPR144-S,58,JOPLLTRW2015-L,1,JOPLJPR711-L,0,JOPLST269-XXL,1
JOPLJPR144-XL,27,JOPLLTRW2015-M,2,JOPLJPR794-S,2,JOPLJPR706-XXL,1
JOPLJPR144-XXL,31,JOPLLTRW2015-5XL,3,JOPLST243-M,10,JOPLST201-S,4
JOPLJPR147A-S,5,JOPLJPR716-M,1,JOPLVSMRW4281-5XL,0,JOPLJPR708-L,1
JOPLJPR148C-S,1,JOPLLTRW2015-3XL,2,JOPLST268-S,0,JOPLJPR69C-4XL,3
JOPLJPR148C-XL,1,JOPLLTRW2018-XL,5,JOPLVSRW4286-M,6,JOPLJPR762-XXL,1
JOPLJPR149-L,1,JOPLLTRW2018-M,4,JOPLJPR69C-M,6,JOPLJPR763-S,4
JOPLJPR149-S,3,JOPLLTRW2017-5XL,15,JOPLJPR68A-XL,1,JOPLVSMRW4250-L,2
JOPLJPR150A-S,13,JOPLVSM4281,5,JOPLLTRW2015-S,0,JOPLVSMRW4281-S,1
JOPLJPR150A-XL,4,JOPLJPR716-XXL,2,JOPLVSRW4031-3XL,0,JOPLJPR44-XXL,1
JOPLJPR150B-L,22,JOPLJPR716-XS,1,JOPLDI1032,1,JOPLJPR4034-M,2
JOPLJPR150B-M,5,JOPLVSMRW4285-3XL,1,JOPLVL218-M,4,JOPLVSRW4147-L,18
JOPLJPR150B-S,32,JOPLVL310-5XL,3,JOPLVSMRW5160-S,0,JOPLVSRW5207-S,2
