Master SKU,Style ID / Parent SKU,Size,Category,Loc,Child Remark,Parent Remark,Type
JOPLJPR717-XL,JOPLJPR717,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLMSFRTW5610-5XL,JOPLMSFRTW5610,5XL,Rtw,Surat,Closed,Closed,Closed
JOPLJPR87-S,JOPLJPR87,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR854-M,JOPLJPR854,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR324-XXL,JOPLJPR324,XXL,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLVL238-XXL,JOPLVL238,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR722-XXL,JOPLJPR722,XXL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVSRW4097-10XL,JOPLVSRW4097,10XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW4147-6XL,JOPLVSRW4147,6XL,Rw Salwar Suit,Surat,Diamond A,Diamond A,Live
JOPLJPR69D-XL,JOPLJPR69D,XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5219-8XL,JOPLVSRW5219,8XL,Rw Salwar Suit,Surat,Platinum C,Platinum B,Live
JOPLCS113-XXL,JOPLCS113,XXL,Cord Set,Jaipur,Slow Moving,Slow Moving,Live
JOPLLTRW2016-XXL,JOPLLTRW2016,XXL,Rw Salwar Suit,Surat,Diamond A,Platinum A,Live
JOPLST207-XL,JOPLST207,XL,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR819-S,JOPLJPR819,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLST228-M,JOPLST228,M,Skd-St,Surat,Closed,Closed,Closed
JOPLST286-XL,JOPLST286,XL,SKD-ST,Surat,New Listing,New Listing,Live
JOPLJPR774-XS,JOPLJPR774,XS,Cotton Top,Jaipur,Closed,Closed,Closed
ROLY04A-L,ROLY04A,L,Western Top,Surat,Closed,Closed,Closed
JOPLJPR2008-XXL,JOPLJPR2008,XXL,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR820A-XL,JOPLJPR820A,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSMRW5150-6XL,JOPLVSMRW5150,6XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLST745-L,JOPLST745,L,Tunics-St,Surat,Closed,Closed,Closed
JOPLJPR4003-L,JOPLJPR4003,L,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR603-S,JOPLJPR603,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR210-XXL,JOPLJPR210,XXL,"Maternity Gown  48""",Jaipur,Closed,Closed,Closed
JOPLJPR859-XL,SKU DELETED,XL,Sku Deleted,Surat,Closed,Closed,Closed
JOPLST287-XL,JOPLST287,XL,Pending,Pending,Launch Phase,Launch Phase,Live
JOPLVSM4197,JOPLVSM4197,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR7012-XL,JOPLJPR7012,XL,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR515-L,JOPLJPR515,L,Kurta With Pant,Surat,Closed,Closed,Closed
JOPLJPR7019-XS,JOPLJPR7019,XS,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW5233-XL,JOPLVSRW5233,XL,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLMSFRTW6012-XL,JOPLMSFRTW6012,XL,Rtw,Surat,Closed,Closed,Closed
JOPLVSM4138,JOPLVSM4138,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSM4133,JOPLVSM4133,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVL297-XL,JOPLVL297,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5177-M,JOPLVSRW5177,M,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5203-4XL,JOPLVSRW5203,4XL,Rw Salwar Suit,Surat,Diamond C,Diamond C,Live
JOPLKS90001-L,JOPLKS90001,L,Kurta-St,Surat,Closed,Closed,Closed
