uni,uni_stock,fba,fba_stock,fbf,fbf_stock,sjit,sjit_stock
JOPLCS104-XS,4,JOPLST271-S,8,JOPLLTRW2018-5XL,2,JOPLJPR43-S,3
JOPLCS104-XXL,7,JOPLST270-XXL,7,JOPLST218-L,8,JOPLST240-L,1
JOPLCS105-XS,5,JOPLST271-L,6,JOPLVSM5112,0,JOPLVSRW4005-9XL,2
JOPLCS106-XS,1,JOPLJPR512-M,1,JOPLVSRW5213-4XL,2,JOPLJPR69B-M,26
JOPLCS107-L,24,JOPLJPR512-S,1,JOPLLTRW2015-S,1,JOPLLTRW2015-4XL,34
JOPLCS107-M,26,JOPLJPR512-XXL,6,JOPLST201-XXL,0,JOPLVSRW4031-6XL,7
JOPLCS107-S,11,JOPLJPR512-XL,0,JOPLVSRW4147-7XL,7,JOPLLTRW2015-9XL,3
JOPLCS107-XL,14,JOPLST268-L,16,JOPLST218-XXL,0,JOPLST201-S,4
JOPLCS107-XS,22,JOPLJPR337-XS,1,JOPLVSRW4147-3XL,21,JOPLJPR706-XXL,1
JOPLCS107-XXL,27,JOPLST269-S,2,JOPLJPR515-XL,0,JOPLST218-S,40
JOPLCS108-L,38,JOPLST269-XXL,1,JOPLLTRW2015-6XL,7,JOPLLTRW2015-XL,36
JOPLCS108-M,22,JOPLST269-XL,6,JOPLVSRW4005-XXL,6,JOPLVL213-M,1
JOPLCS108-S,27,JOPLJPR311-L,5,JOPLVSRW4147-6XL,4,JOPLJPR841-XXL,1
JOPLCS108-XL,33,JOPLJPR311-XS,1,JOPLLTRW2015-5XL,2,JOPLVSMRW3988-M,6
JOPLCS108-XS,36,JOPLCS108-L,1,JOPLVSMRW5156-XL,0,JOPLVSRW4005-4XL,19
JOPLCS108-XXL,57,JOPLCS108-XL,3,JOPLST218-M,4,JOPLLTRW2018-5XL,3
JOPLCS109-L,25,JOPLJPR311-M,8,JOPLVSRW4093-L,4,JOPLLTRW2018-6XL,1
JOPLCS109-M,17,JOPLJPR311-XXL,1,JOPLPDPRW1006-5XL,0,JOPLPDPRW1058-5XL,9
JOPLCS109-S,26,JOPLJPR7021-L,2,JOPLVSMRW5149-L,1,JOPLJPR801-S,2
JOPLCS109-XL,11,JOPLST273-L,3,JOPLVSMRW4250-XXL,1,JOPLST242-S,1
JOPLCS109-XS,21,JOPLJPR7021-XXL,3,JOPLVL212-XL,0,JOPLST218-M,48
JOPLCS109-XXL,28,JOPLJPR7021-M,10,JOPLJPR779-XS,0,JOPLST734-S,3
JOPLCS110-L,11,JOPLST273-XXL,1,JOPLJPR10-L,1,JOPLJPR751-S,2
JOPLCS110-M,8,JOPLLTRW2016-9XL,4,JOPLVSRW4093-XXL,1,JOPLJPR718-S,1
JOPLCS110-S,23,JOPLLTRW2016-7XL,1,JOPLLTRW2007-6XL,13,JOPLPDPRW1058-3XL,38
JOPLCS110-XL,11,JOPLJPR515-XL,3,JOPLST243-M,7,JOPLVSRW4031-4XL,1
JOPLCS110-XS,18,JOPLJPR518-M,5,JOPLST269-XL,17,JOPLVSRW5202-M,5
JOPLCS110-XXL,16,JOPLJPR518-XL,12,JOPLVSRW5202-S,6,JOPLVSRW5193-3XL,1
JOPLCS111-L,27,JOPLJPR515-M,2,JOPLVSRW4147-M,11,JOPLLTRW2017-3XL,67
JOPLCS111-M,23,JOPLJPR515-XXL,12,JOPLPDPRW1006-XXL,9,JOPLST736-L,1
JOPLCS111-S,44,JOPLJPR518-S,3,JOPLVL288-6XL,1,JOPLLTRW2015-6XL,15
JOPLCS111-XL,19,JOPLJPR518-L,1,JOPLVSMRW3988-7XL,0,JOPLST218-XL,72
JOPLCS111-XS,41,JOPLJPR4007-XXL,3,JOPLVSRW5202-4XL,0,JOPLJPR89-S,1
JOPLCS111-XXL,29,JOPLJPR4007-S,1,JOPLJPR325-S,1,JOPLJPR43-6XL,12
JOPLCS112-L,24,JOPLJPR4013-M,1,JOPLVSM4096,4,JOPLST237-S,1
JOPLCS112-M,9,JOPLJPR342-XL,2,JOPLVSMRW5160-5XL,0,JOPLVL218-XL,3
JOPLCS112-XL,26,JOPLJPR342-XXL,2,JOPLVSRW4002-4XL,2,JOPLVSRW4292-10XL,3
JOPLCS112-XS,19,JOPLJPR342-XS,2,JOPLVSRW5213-XL,2,JOPLJPR818-3XL,1
JOPLCS112-XXL,31,JOPLJPR342-M,3,JOPLLTRW2015-7XL,6,JOPLLTRW2017-L,8
JOPLCS113-L,36,JOPLJPR323-XXL,3,JOPLVSMRW5149-M,3,JOPLVSRW4088-5XL,2
JOPLCS113-M,3,JOPLJPR342-L,4,JOPLVSRW5213-XXL,1,JOPLJPR753-XS,4
JOPLCS113-S,42,JOPLJPR323-S,2,JOPLJPR83-6XL,4,JOPLJPR43-3XL,14
JOPLCS113-XL,46,JOPLJPR346-XS,1,JOPLJPR69C-M,4,JOPLJPR783-XL,1
JOPLCS113-XS,37,JOPLJPR346-M,7,JOPLJPR68D-S,0,JOPLJPR868-M,1
JOPLCS113-XXL,26,JOPLJPR7017-XS,0,JOPLVSRW4002-3XL,6,JOPLJPR215-M,1
JOPLDI1020,9,JOPLJPR346-S,1,JOPLVSRW4002-L,0,JOPLST703-XL,4
JOPLDI1021,114,JOPLJPR346-L,9,JOPLJPR518-XL,0,JOPLVL218-S,1
JOPLDI1022,57,JOPLJPR7017-M,1,JOPLST218-5XL,4,JOPLPDPRW1006-9XL,2
JOPLDI1024,53,JOPLJPR346-XL,4,JOPLJPR314-XL,0,JOPLJPR43-4XL,48
JOPLDI1025,41,JOPLJPR7022-M,2,JOPLST218-4XL,1,JOPLJPR716-S,13
JOPLDI1026,15,JOPLJPR348-S,3,JOPLVSRW4290-3XL,0,JOPLLTRW2017-7XL,31
JOPLDI1028,14,JOPLJPR348-L,4,JOPLVSRW5215-3XL,4,JOPLLTRW2017-8XL,9
JOPLDI1032,73,JOPLJPR348-XXL,2,JOPLVSMRW5160-XL,0,JOPLJPR818-L,1
JOPLDI1033,26,JOPLJPR348-M,8,JOPLST268-L,0,JOPLST218-XXL,52
JOPLDI1045,71,JOPLJPR7020-M,2,JOPLLTRW2016-XL,4,JOPLLTRW2007-3XL,10
JOPLGGKV2009,8,JOPLPDPRW1058-L,3,JOPLVSMRW5160-3XL,0,JOPLVL241-S,1
JOPLJPR02-M,1,JOPLJPR340-S,9,JOPLVSMRW5156-7XL,0,JOPLVSMRW4250-S,2
JOPLJPR09-S,10,JOPLJPR340-XL,3,JOPLVSRW5211-XXL,0,JOPLJPR515-M,1
JOPLJPR102-L,1,JOPLPDPRW1058-3XL,86,JOPLVSMRW4250-XL,0,JOPLVSRW5207-S,2
JOPLJPR102-XL,2,JOPLVSRW4290-8XL,1,JOPLVSMRW5156-XXL,0,JOPLJPR750-XXL,10
JOPLJPR105-3XL,2,JOPLVSRW4290-7XL,1,JOPLJPR745-S,1,JOPLVSMRW5156-8XL,1
JOPLJPR105-M,1,JOPLVSM5112,7,JOPLJPR513-XXL,1,JOPLRJN16-S,6
JOPLJPR105-XL,2,JOPLVL288-XXL,1,JOPLVSM4250,0,JOPLVSMRW4250-XL,24
JOPLJPR10-5XL,1,JOPLVL212-XXL,5,JOPLVSMRW5149-S,7,JOPLVSMRW3988-XXL,3
JOPLJPR108-L,1,JOPLJPR69D-XXL,2,JOPLVSM4071,0,JOPLJPR713-XXL,4
JOPLJPR108-XL,8,JOPLVL212-3XL,1,JOPLVSRW5217-XL,7,JOPLJPR762-XL,6
JOPLJPR109-L,1,JOPLVL224-6XL,0,JOPLJPR10-M,2,JOPLST242-XXL,2
JOPLJPR109-M,3,JOPLVL224-XXL,2,JOPLPDPRW1006-4XL,6,JOPLVSMRW4250-XXL,51
JOPLJPR109-XL,5,JOPLJPR83-4XL,2,JOPLVSMRW5156-4XL,7,JOPLJPR714-XXL,1
JOPLJPR10-XXL,30,JOPLJPR69A-3XL,1,JOPLVSRW4082-7XL,1,JOPLPDPRW1058-XL,43
JOPLJPR111-3XL,1,JOPLVL245-XXL,1,JOPLVSM4079,1,JOPLLTRW2015-3XL,12
JOPLJPR111-L,2,JOPLJPR69A-6XL,2,JOPLJPR794-L,4,JOPLJPR311-XS,2
JOPLJPR111-M,1,JOPLJPR68C-3XL,3,JOPLJPR10-4XL,5,JOPLLTRW2016-M,6
JOPLJPR111-XL,1,JOPLVL241A-5XL,6,JOPLJPR68A-XL,1,JOPLJPR730-XS,3
JOPLJPR111-XXL,3,JOPLVSMRW3988-6XL,28,JOPLVSMRW4250-6XL,1,JOPLLTRW2015-S,1
JOPLJPR121-3XL,1,JOPLJPR709-XXL,19,JOPLVSRW5193-M,5,JOPLVSRW4005-XXL,23
JOPLJPR124-3XL,6,JOPLJPR706-L,6,JOPLVSRW5171-M,1,JOPLLTRW2007-6XL,4
JOPLJPR132-XL,3,JOPLJPR707-S,2,JOPLLTRW2007-4XL,3,JOPLJPR708-L,1
JOPLJPR132-XXL,2,JOPLJPR705-L,9,JOPLJPR801-XL,1,JOPLJPR740-XL,3
JOPLJPR133-S,1,JOPLJPR705-M,2,JOPLLTRW2018-M,9,JOPLVSMRW5156-9XL,1
JOPLJPR135-M,1,JOPLJPR705-S,1,JOPLST270-XXL,12,JOPLJPR5004-XS,1
